date,rank,song,artist,last_week,peak_rank,weeks_on_board
1987-09-26,64,Should've Known Better,Richard Marx,64.0,64,231
1988-10-01,67,Walk On Water,Eddie Money,67.0,67,231
1982-10-30,78,Sexual Healing,Marvin Gaye,78.0,78,231
1986-10-04,98,For Tonight,Nancy Martinez,98.0,98,231
2018-01-06,94,Stir Fry,Migos,94.0,94,231
2000-12-09,78,Don't Tell Me,Madonna,78.0,78,231
1986-09-06,90,Wild Wild Life,Talking Heads,90.0,90,231
2005-08-06,63,Like You,Bow Wow Featuring Ciara,63.0,63,231
1974-12-07,99,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,99.0,99,231
1958-08-25,82,Topsy II,Cozy Cole,82.0,82,231
2007-09-29,14,Good Life,Kanye West Featuring T-Pain,14.0,14,231
